id,time,source,sub_source,writer,link,text,cb_level
 19519150495785172445196066816, 09/10/2016 08:37, twitter, twitter, Apache, http://twitter.com/israeli_apache/statuses/785172445196066816, @galberger ימח שמה של המחבלת הקטנה,3
 119517863836034038715, 09/10/2016 10:26, Instagram, Instagram - koolanookahana, ran_shmunis1, https://www.instagram.com/p/BLVmhHYB5k-, ימח שמו,3
 119517853967420076669, 26/09/2016 04:30, Instagram, Instagram - koolanookahana, liron_sal, https://www.instagram.com/p/BKyEGpRB0f4, יימח שמם וזכרםםםםם,3
3.95498E+14, 06/10/2016 02:34, TB, YNET - עמוד הבית,unkown, http://www.ynet.co.il/articles/0%2c7340%2cL-4863514%2c00.html, ימח שמם וזכרם לעד-,3
 19519150495785056627749687296, 09/10/2016 12:57, twitter, twitter, Gabriel, http://twitter.com/zzgab/statuses/785056627749687296, ימח שמם.,3
 19519150495785105977288851456, 09/10/2016 04:13, twitter, twitter, Moshe, http://twitter.com/inbal813/statuses/785105977288851456, @issacharoff ימח שמם,3
 119517863862386046187, 09/10/2016 09:08, Instagram, Instagram - the_jewish_idea, huxh795, https://www.instagram.com/p/BLViekzDS5j, ימח שמם הערבים,3
 19519150495785154138753695744, 09/10/2016 07:25, twitter, twitter, גל זיו - Gal Ziv, http://twitter.com/kobimaklef2015/statuses/785154138753695744, @btselem ימח שמו,3
 119517852915791080079, 10/10/2016 09:14, Instagram, Instagram - koolanookahana, roi_ofer, https://www.instagram.com/p/BLYByo1BTt1, שרמוטות יימח שמם,3
 3954961962119553, 26/09/2016 07:33, TB, Ynet - ספורט, משה כהן, http://www.ynet.co.il/articles/0%2c7340%2cL-4859833%2c00.html, כבירי יימח שמך וזכרך-,3
 19519150495784761894351605764, 08/10/2016 05:26, twitter, twitter, ? Anuki Jana ?, http://twitter.com/anuki_jana17/statuses/784761894351605764, כמה את מצייצת יימח שמך,3
 119517843084635167399, 09/10/2016 07:29, Instagram, Instagram - the_jewish_idea, kazavkarin, https://www.instagram.com/p/BLWO2zFDGq-, ימח שמם וזכרםםם של הערביםםםםםםםםםםםםם,3
 119517863839826038715, 09/10/2016 12:34, Instagram, Instagram - koolanookahana, shaked_36925, https://www.instagram.com/p/BLVmhHYB5k-, מוות לערבים ימח שמו בנזונה,3
 19519150495785179299825451009, 09/10/2016 09:05, twitter, twitter, ouriel daskal, http://twitter.com/odaskal/statuses/785179299825451009, מינסוטה נראים טוב יימח שמם,1
 59532014996966195105727753226556, 29/09/2016 01:10, facebook, FaceBook - הצינור, אשר יקו, http://www.facebook.com/permalink.php?story_fbid=105727753226556&id=320149969661, שמעון פרס ימח שמו ושם זכרו,3
 19519150495784347212776112128, 07/10/2016 01:58, twitter, twitter, עמיחי גרינולד, http://twitter.com/amichai_g/statuses/784347212776112128, @10elilevi @RoySharon10 יימח שמו,3
3.95498E+15, 07/10/2016 01:25, TB, Ynet - ספורט, משה כהן, http://www.ynet.co.il/articles/0%2c7340%2cL-4863904%2c00.html, כבירי יימח שמך וזכרך.-,3
 19519150495785057897461977088, 09/10/2016 01:02, twitter, twitter, shlomo devora, http://twitter.com/shlomod/statuses/785057897461977088, @galberger מחבל רוצח ימח שמו,3
 19519150495785129087455092736, 09/10/2016 05:45, twitter, twitter, ביאטה ברוכוב, http://twitter.com/biat1180/statuses/785129087455092736, @ShaiCohen13 @issacharoff  ימח שמם,3
 595100002413960713951120899728000482, 08/10/2016 01:26, facebook, FaceBook - תום בארי מספרה שריד, Tom Barry, http://www.facebook.com/permalink.php?story_fbid=1120899728000482&id=100002413960713, מישהו פה עובד בפרטנר יימח שמם?,1
